edad,peso_inicial,peso_final,ganancia,id_animal,enfermos,estables,prediccion,grados_pertenencia
19,395.40872600865094,407.183481181235,11.774755172584037,V1,0.669366376847807,0.33063362315219297,0,66.93663768478069
29,411.40872600865094,423.183481181235,11.774755172584037,V2,0.9543423224337629,0.045657677566237065,0,95.4342322433763
23,390.40872600865094,402.183481181235,11.774755172584037,V3,0.5276891053768904,0.4723108946231096,0,52.76891053768904
18,424.40872600865094,436.183481181235,11.774755172584037,V4,0.9978346172593379,0.0021653827406621817,0,99.78346172593379
22,407.40872600865094,419.183481181235,11.774755172584037,V5,0.911788125409904,0.08821187459009608,0,91.17881254099039
19,426.40872600865094,438.183481181235,11.774755172584037,V6,0.9962342817886531,0.003765718211346893,0,99.62342817886531
22,391.40872600865094,403.183481181235,11.774755172584037,V7,0.5568935898856623,0.44310641011433777,0,55.68935898856623
22,429.40872600865094,441.183481181235,11.774755172584037,V8,0.9914489792404857,0.00855102075951421,0,99.14489792404856
19,422.40872600865094,434.183481181235,11.774755172584037,V9,0.9978526526387412,0.002147347361258907,0,99.78526526387412
26,438.56051978830396,447.337416095993,8.776896307689015,V10,0.9719312912788861,0.028068708721113812,0,97.19312912788861
27,408.56051978830396,417.337416095993,8.776896307689015,V11,0.9096564841740977,0.09034351582590226,0,90.96564841740977
18,416.56051978830396,425.337416095993,8.776896307689015,V12,0.9813204392500724,0.01867956074992764,0,98.13204392500724
27,413.56051978830396,422.337416095993,8.776896307689015,V13,0.9620909662473389,0.03790903375266114,0,96.20909662473389
26,431.56051978830396,440.337416095993,8.776896307689015,V14,0.9916306566315184,0.008369343368481668,0,99.16306566315184
19,388.56051978830396,397.337416095993,8.776896307689015,V15,0.42894637568024724,0.5710536243197528,1,57.10536243197528
26,363.56051978830396,372.337416095993,8.776896307689015,V16,0.010762868496909475,0.9892371315030904,1,98.92371315030904
23,409.56051978830396,418.337416095993,8.776896307689015,V17,0.9224085166829075,0.07759148331709251,0,92.24085166829074
19,364.56051978830396,373.337416095993,8.776896307689015,V18,0.014806201080398122,0.9851937989196018,1,98.51937989196018
19,412.087352078244,421.18005690179496,9.092704823550946,V19,0.9508643598509198,0.0491356401490801,0,95.08643598509198
27,356.087352078244,365.18005690179496,9.092704823550946,V20,0.00036238211847518785,0.9996376178815248,1,99.96376178815248
18,395.087352078244,404.18005690179496,9.092704823550946,V21,0.6245054312600267,0.3754945687399733,0,62.450543126002664
25,349.087352078244,358.18005690179496,9.092704823550946,V22,0.011133666993798707,0.9888663330062012,1,98.88663330062012
20,419.087352078244,428.18005690179496,9.092704823550946,V23,0.9921044839084613,0.007895516091538752,0,99.21044839084612
26,415.087352078244,424.18005690179496,9.092704823550946,V24,0.9738136703915072,0.026186329608492803,0,97.38136703915072
25,435.087352078244,444.18005690179496,9.092704823550946,V25,0.9821353965887877,0.017864603411212373,0,98.21353965887877
29,432.087352078244,441.18005690179496,9.092704823550946,V26,0.9900218157272411,0.009978184272758832,0,99.00218157272411
21,429.149523404394,438.499117294941,9.349593890546998,V27,0.9956445857991494,0.004355414200850547,0,99.56445857991494
19,421.149523404394,430.499117294941,9.349593890546998,V28,0.9971723487284921,0.002827651271507819,0,99.71723487284922
29,415.149523404394,424.499117294941,9.349593890546998,V29,0.9748906920142238,0.02510930798577621,0,97.48906920142238
19,406.149523404394,415.499117294941,9.349593890546998,V30,0.8783386751549428,0.12166132484505718,0,87.83386751549428
22,383.149523404394,392.499117294941,9.349593890546998,V31,0.2876180984932399,0.7123819015067601,1,71.238190150676
28,393.149523404394,402.499117294941,9.349593890546998,V32,0.5725505123222583,0.4274494876777417,0,57.25505123222583
22,390.149523404394,399.499117294941,9.349593890546998,V33,0.48417175232697396,0.515828247673026,1,51.582824767302604
20,364.149523404394,373.499117294941,9.349593890546998,V34,0.014484558460017142,0.9855154415399827,1,98.55154415399826
20,421.149523404394,430.499117294941,9.349593890546998,V35,0.9971723487284921,0.002827651271507819,0,99.71723487284922
19,362.341302483941,371.050936157193,8.709633673252029,V36,0.006704310352557781,0.9932956896474422,1,99.32956896474423
27,398.341302483941,407.050936157193,8.709633673252029,V37,0.7074056366475344,0.29259436335246564,0,70.74056366475344
22,420.341302483941,429.050936157193,8.709633673252029,V38,0.9950623540620397,0.0049376459379602035,0,99.50623540620397
20,390.341302483941,399.050936157193,8.709633673252029,V39,0.48031511411520705,0.519684885884793,1,51.9684885884793
23,356.341302483941,365.050936157193,8.709633673252029,V40,0.00023713745977620387,0.9997628625402238,1,99.97628625402238
27,403.341302483941,412.050936157193,8.709633673252029,V41,0.8222512486115519,0.17774875138844806,0,82.22512486115518
24,352.341302483941,361.050936157193,8.709633673252029,V42,0.004612387542865666,0.9953876124571344,1,99.53876124571343
20,425.341302483941,434.050936157193,8.709633673252029,V43,0.9999072965143317,9.270348566836511e-05,0,99.99072965143317
26,427.341302483941,436.050936157193,8.709633673252029,V44,0.9986387957559124,0.0013612042440877057,0,99.86387957559124
29,422.341302483941,431.050936157193,8.709633673252029,V45,0.9985799263193689,0.0014200736806312354,0,99.85799263193688
