edad,peso_inicial,peso_final,ganancia,id_animal
19,417.36422933630206,427.878126951447,10.513897615144913,V1
29,433.36422933630206,443.878126951447,10.513897615144913,V2
23,412.36422933630206,422.878126951447,10.513897615144913,V3
18,446.36422933630206,456.878126951447,10.513897615144913,V4
22,429.36422933630206,439.878126951447,10.513897615144913,V5
19,448.36422933630206,458.878126951447,10.513897615144913,V6
22,413.36422933630206,423.878126951447,10.513897615144913,V7
22,451.36422933630206,461.878126951447,10.513897615144913,V8
19,444.36422933630206,454.878126951447,10.513897615144913,V9
26,457.517816516233,467.68587647339103,10.16805995715805,V10
27,427.517816516233,437.68587647339103,10.16805995715805,V11
18,435.517816516233,445.68587647339103,10.16805995715805,V12
27,432.517816516233,442.68587647339103,10.16805995715805,V13
26,450.517816516233,460.68587647339103,10.16805995715805,V14
19,407.517816516233,417.68587647339103,10.16805995715805,V15
26,382.517816516233,392.68587647339103,10.16805995715805,V16
23,428.517816516233,438.68587647339103,10.16805995715805,V17
19,383.517816516233,393.68587647339103,10.16805995715805,V18
19,430.433574319142,440.01620967016,9.582635351017984,V19
27,374.433574319142,384.01620967016,9.582635351017984,V20
18,413.433574319142,423.01620967016,9.582635351017984,V21
25,367.433574319142,377.01620967016,9.582635351017984,V22
20,437.433574319142,447.01620967016,9.582635351017984,V23
26,433.433574319142,443.01620967016,9.582635351017984,V24
25,453.433574319142,463.01620967016,9.582635351017984,V25
29,450.433574319142,460.01620967016,9.582635351017984,V26
21,447.36292654413694,453.491466240795,6.128539696658038,V27
19,439.36292654413694,445.491466240795,6.128539696658038,V28
29,433.36292654413694,439.491466240795,6.128539696658038,V29
19,424.36292654413694,430.491466240795,6.128539696658038,V30
22,401.36292654413694,407.491466240795,6.128539696658038,V31
28,411.36292654413694,417.491466240795,6.128539696658038,V32
22,408.36292654413694,414.491466240795,6.128539696658038,V33
20,382.36292654413694,388.491466240795,6.128539696658038,V34
20,439.36292654413694,445.491466240795,6.128539696658038,V35
19,381.998988865445,391.01304712062006,9.01405825517503,V36
27,417.998988865445,427.01304712062006,9.01405825517503,V37
22,439.998988865445,449.01304712062006,9.01405825517503,V38
20,409.998988865445,419.01304712062006,9.01405825517503,V39
23,375.998988865445,385.01304712062006,9.01405825517503,V40
27,422.998988865445,432.01304712062006,9.01405825517503,V41
24,371.998988865445,381.01304712062006,9.01405825517503,V42
20,444.998988865445,454.01304712062006,9.01405825517503,V43
26,446.998988865445,456.01304712062006,9.01405825517503,V44
29,441.998988865445,451.01304712062006,9.01405825517503,V45
