edad,peso_inicial,peso_final,ganancia,id_animal
19,427.878126951447,434.83771365332296,6.959586701875992,V1
29,443.878126951447,450.83771365332296,6.959586701875992,V2
23,422.878126951447,429.83771365332296,6.959586701875992,V3
18,456.878126951447,463.83771365332296,6.959586701875992,V4
22,439.878126951447,446.83771365332296,6.959586701875992,V5
19,458.878126951447,465.83771365332296,6.959586701875992,V6
22,423.878126951447,430.83771365332296,6.959586701875992,V7
22,461.878126951447,468.83771365332296,6.959586701875992,V8
19,454.878126951447,461.83771365332296,6.959586701875992,V9
26,467.68587647339103,473.82239571885697,6.136519245465934,V10
27,437.68587647339103,443.82239571885697,6.136519245465934,V11
18,445.68587647339103,451.82239571885697,6.136519245465934,V12
27,442.68587647339103,448.82239571885697,6.136519245465934,V13
26,460.68587647339103,466.82239571885697,6.136519245465934,V14
19,417.68587647339103,423.82239571885697,6.136519245465934,V15
26,392.68587647339103,398.82239571885697,6.136519245465934,V16
23,438.68587647339103,444.82239571885697,6.136519245465934,V17
19,393.68587647339103,399.82239571885697,6.136519245465934,V18
19,440.01620967016,447.39283708474005,7.376627414580071,V19
27,384.01620967016,391.39283708474,7.376627414580014,V20
18,423.01620967016,430.39283708474,7.376627414580014,V21
25,377.01620967016,384.39283708474,7.376627414580014,V22
20,447.01620967016,454.39283708474005,7.376627414580071,V23
26,443.01620967016,450.39283708474005,7.376627414580071,V24
25,463.01620967016,470.39283708474005,7.376627414580071,V25
29,460.01620967016,467.39283708474005,7.376627414580071,V26
21,453.491466240795,459.110139628377,5.618673387582021,V27
19,445.491466240795,451.110139628377,5.618673387582021,V28
29,439.491466240795,445.110139628377,5.618673387582021,V29
19,430.491466240795,436.110139628377,5.618673387582021,V30
22,407.491466240795,413.110139628377,5.618673387582021,V31
28,417.491466240795,423.110139628377,5.618673387582021,V32
22,414.491466240795,420.110139628377,5.618673387582021,V33
20,388.491466240795,394.110139628377,5.618673387582021,V34
20,445.491466240795,451.110139628377,5.618673387582021,V35
19,391.01304712062006,397.07114884598997,6.058101725369909,V36
27,427.01304712062006,433.07114884598997,6.058101725369909,V37
22,449.01304712062006,455.0711488459901,6.0581017253700225,V38
20,419.01304712062006,425.07114884598997,6.058101725369909,V39
23,385.01304712062006,391.07114884598997,6.058101725369909,V40
27,432.01304712062006,438.07114884598997,6.058101725369909,V41
24,381.01304712062006,387.07114884598997,6.058101725369909,V42
20,454.01304712062006,460.0711488459901,6.0581017253700225,V43
26,456.01304712062006,462.0711488459901,6.0581017253700225,V44
29,451.01304712062006,457.0711488459901,6.0581017253700225,V45
