edad,peso_inicial,peso_final,ganancia,id_animal
19,355.132413847046,361.59805020890997,6.465636361863972,V1
29,371.132413847046,377.59805020890997,6.465636361863972,V2
23,350.132413847046,356.59805020890997,6.465636361863972,V3
18,384.132413847046,390.59805020890997,6.465636361863972,V4
22,367.132413847046,373.59805020890997,6.465636361863972,V5
19,386.132413847046,392.59805020890997,6.465636361863972,V6
22,351.132413847046,357.59805020890997,6.465636361863972,V7
22,389.132413847046,395.59805020890997,6.465636361863972,V8
19,382.132413847046,388.59805020890997,6.465636361863972,V9
26,402.294980199043,408.594716024776,6.299735825733023,V10
27,372.294980199043,378.594716024776,6.299735825733023,V11
18,380.294980199043,386.594716024776,6.299735825733023,V12
27,377.294980199043,383.594716024776,6.299735825733023,V13
26,395.294980199043,401.594716024776,6.299735825733023,V14
19,352.294980199043,358.594716024776,6.299735825733023,V15
26,327.294980199043,333.594716024776,6.299735825733023,V16
23,373.294980199043,379.594716024776,6.299735825733023,V17
19,328.294980199043,334.594716024776,6.299735825733023,V18
19,372.47866360603797,378.622065641151,6.143402035113013,V19
27,316.478663606038,322.622065641151,6.143402035112956,V20
18,355.47866360603797,361.622065641151,6.143402035113013,V21
25,309.478663606038,315.622065641151,6.143402035112956,V22
20,379.47866360603797,385.622065641151,6.143402035113013,V23
26,375.47866360603797,381.622065641151,6.143402035113013,V24
25,395.47866360603797,401.622065641151,6.143402035113013,V25
29,392.47866360603797,398.622065641151,6.143402035113013,V26
21,394.534911378496,401.634684864909,7.099773486412971,V27
19,386.534911378496,393.634684864909,7.099773486412971,V28
29,380.534911378496,387.634684864909,7.099773486412971,V29
19,371.534911378496,378.634684864909,7.099773486412971,V30
22,348.534911378496,355.634684864909,7.099773486412971,V31
28,358.534911378496,365.634684864909,7.099773486412971,V32
22,355.534911378496,362.634684864909,7.099773486412971,V33
20,329.534911378496,336.634684864909,7.099773486412971,V34
20,386.534911378496,393.634684864909,7.099773486412971,V35
19,321.744926727272,328.205760611623,6.460833884351018,V36
27,357.74492672727206,364.205760611623,6.460833884350961,V37
22,379.74492672727206,386.205760611623,6.460833884350961,V38
20,349.74492672727206,356.205760611623,6.460833884350961,V39
23,315.744926727272,322.205760611623,6.460833884351018,V40
27,362.74492672727206,369.205760611623,6.460833884350961,V41
24,311.744926727272,318.205760611623,6.460833884351018,V42
20,384.74492672727206,391.205760611623,6.460833884350961,V43
26,386.74492672727206,393.205760611623,6.460833884350961,V44
29,381.74492672727206,388.205760611623,6.460833884350961,V45
