enfermos,estables
0.9869083977146265,0.01309160228537348
0.9338143858089037,0.06618561419109617
0.9963729570610083,0.0036270429389917733
0.8871275622642256,0.11287243773577436
0.948440812218333,0.05155918778166693
0.880332867746742,0.11966713225325797
0.9950109560821657,0.004989043917834384
0.8703995156474493,0.12960048435255075
0.8940517648817634,0.1059482351182365
0.855900473751699,0.14409952624830105
0.9602509143742396,0.039749085625760405
0.9315152103434594,0.06848478965654069
0.9424691973105369,0.057530802689463166
0.878388646263325,0.12161135373667495
0.9944734297814237,0.00552657021857615
0.658378246294155,0.3416217537058451
0.956777802096547,0.04322219790345304
0.6850230442927381,0.3149769557072619
0.9473988639498964,0.05260113605010365
0.4481112671231293,0.5518887328768707
0.9953606343645424,0.004639365635457692
0.2587042831585768,0.7412957168414231
0.9218370244442181,0.07816297555578182
0.936483817016442,0.06351618298355793
0.8664229811460604,0.13357701885393955
0.8762114629585851,0.12378853704141493
0.9069360050870531,0.093063994912947
0.9357945483455352,0.06420545165446484
0.9570665886618905,0.04293341133810944
0.9841236573349889,0.015876342665011155
0.921652856006301,0.07834714399369912
0.9886047133913398,0.011395286608660139
0.977529810404189,0.022470189595811048
0.502133602861047,0.4978663971389529
0.9357945483455352,0.06420545165446484
0.6137769638675,0.38622303613250003
0.9910180846306031,0.008981915369396945
0.9192973231054417,0.08070267689455844
0.9966492188467572,0.00335078115324289
0.43946557382671886,0.5605344261732811
0.9785408397773893,0.02145916022261063
0.32737192410364063,0.6726280758963593
0.901298406836697,0.0987015931633031
0.8942644705382878,0.10573552946171212
0.9120383834911499,0.08796161650885014
